text,label
"@no0ofe333 @Mrs_shima @momo503noon طيب ليش ماتطبقين السنة وتغيرين صورة هالمتبرجة المخالفة للشرع الي انتي حاطتها 😌 Nov 02, 2016",anger
"@no0ofe333 @FAJM14 @sadoomallhp @momo503noon @roroazotb3 @AL__Faa حديث صحيح وصريح وانتهينا منك لانك تجادلين من اجل الجدال فقط توكلي ☺️ Nov 02, 2016 ",anger
"@Akhbaar24 ومين هالحمار الي يبي يرجعهم خلاص الوضع الطبيعي السبت والجمعة اجازة ، حتى اسماء الايام لغوياً مرتبين نفسهم Jan 31, 2017",anger
"@ts99e صدقتي وع الله يعين صديقتي يتيمة عتيبية دايما تشتكي من تسلط بيت عمها واخوها المراهق ابو 17 سنة رغم انها اخته… https://t.co/Bwz39P9ckJ May 22, 2017 
",anger
"الحين تشوف ان قيادة المرأة لسيارتها من المصائب والمنكرات لكن عادي عندك تشوفها تختلي مع سائق او تتمرمط بالشوارع كعاب… https://t.co/3Ztq3FMHIw Jan 11, 2017 ",anger
"@ekhiles احد الدعاة 🤔 ع فكرة انا حطيت صفحتين من كتابين مختلفين يعني مو داعية واحد وهذا كان فكرهم السائد ذهاب البنات للمدارس كان عيب وشنار😏 Feb 20, 2017 ",anger
الله يفشلكم وصل غسيلكم الوصخ وعنصريتكم النتنة الى جريدة الاندبندت البريطانية 😝 #سعوديات_نطالب_باسقاط_الولايه95,anger
"عندهم اعتقاد اذا دافع عن مستشيخ بيكون شفيع له لدخول الجنة اخذي فرة ع اغلب حساباتهم تلاقينها تنضح اباحية 😷… https://t.co/yxWQXseYce Mar 07, 2017",anger
"عذر اقبح من ذنب  https://t.co/IlxyPMQDk2 Mar 07, 2017 ",anger
"@L1Noo11 @warmestheartانتوا تجيبون لروحكم عوار القلب من الي يقول ان الرصيد او مبلغ بالخزنة يعتبر مصدر دخل ! تعتبر ممتلكات غير متجددة Feb 07, 2017",anger
"@S3N_H @aa1363 هذا في حالة اذا الله وفق البنت وتزوجت واحد لؤطة اما النطيحة والمتردية ولا ببيزة وبتفلة چلب تخلعه… https://t.co/AbyteSGOVP Jan 31, 2017",anger
"@CelebsArabic يا ثقل طينتها هالسحاقية Jan 31, 2017",anger
"@L1Noo11 لا يخسون ماعندهم غيرة الا فيهم دياثة Jan 31, 2017 ",anger
"مااقول شي اذا عصبت سكت https://t.co/phkMiV1ISs Sep 25, 2016 ",anger
"@molitaa_a جواب اعصاري مافي وحدة تطالب بإسقاط الولاية الا هي متضررة ليش تفترضون انها بتقوم القيامة نتكلم عن المرأة الراشدة مانتكلم عن مراهقة Nov 02, 2016 ",anger
"احترم نقطة أنكم تبحثون عن ""مصلحتنا"" لكن اسكتوا لأن محد طلب رايكم أوك ؟ لا كف عاد يه ! لازم الواحد يعصب . Jul 09, 2017",anger
"@Gifswd ثقالة دم تافه و سخيف May 25, 2017",anger
"@zyad22291 الشماعة الي تعلقون عليها كل بلاويكم وعليه لا بد ان تقود المرأة السيارة كود ينصلح حالكم وتتسنعون حالكم ح… https://t.co/EfYsj7T6YZ May 25, 2017 ",anger
"@risk587 @sadoomallhp @7mohsenof7 @no0ofe333 @momo503noon @roroazotb3 اخوانكي !! يالله تقلع ياحمار لو فيك خير ماقعدت تلاحق النساء بكل منشن Nov 02, 2016 ",anger
"@risk587 @sadoomallhp @7mohsenof7 @no0ofe333 @momo503noon @roroazotb3 @AL__Faa تخسي ولا فيك ذرّة رجولة Nov 02, 2016 ",anger
"@muhaalz #زين من جات العطلة واهيه صايرة دمااار 😡 Jan 31, 2017 ",anger
"@alsaifas2 وعلى فكره اي شخص يغار على دينه ومجتمعه هالموضوع يعصب ونص May 12, 2017 ",anger
"@no0ofe333 @momo503noon @sadoomallhp @roroazotb3 @AL__Faa حذفتيه يالجبانة لكن صورت التغريدة 😌👌🏻 لان هدفك مو الحق هد… https://t.co/GibKmNLwpo Nov 02, 2016 ",anger
"الاسراف…من جد احس اني افقد اعصابي اذا شفت احد مسرف…التحديات اللي في اليوتيوب اللي يكسر آيفون او يحرقه ما أقدر اطالع فيها #اكثر_حاجه_تزعلني May 19, 2017",anger
"@no0ofe333 @sadoomallhp @momo503noon @roroazotb3 @AL__Faa حديث صحيح وفي البخاري يا ماما الى متى الكذب على الناس تكذبين على النبي ﷺ 😕 Nov 02, 2016 ",anger
"@no0ofe333 @sadoomallhp @momo503noon @roroazotb3 @AL__Faa هذا لانك كذابة والحديث في صحيح البخاري خذي الرابط 😋 https://t.co/szKOSujeW1 Nov 02, 2016 ",anger
"@DHQ77 @RashaSaad83 @hglphldd لكن لانك محدود الفكر فكرت فقط في امرأتك الي قاعدة ببيتك لاشغلة ولامشغلة ويمكن انت طرطنقي فاضي توديها مشاويرها Feb 18, 2017",anger
"غضب عارم من اربعة نصراويين بالمدرج May 04, 2017 ",anger
"@DHQ77 @L1Noo11 @RashaSaad83 @hglphldd هذا الي يفضله الديوثين امثالك برضاهم على اختلاء النساء مع السواقين ورفضهم للقيادة النسائية Feb 18, 2017",anger
"هذا البائس مذمم آل الشيك البذيء ماعنده الجرأه ينتقد جدّه لانه مستفيد من ورى اسمه مخصصات تمشي له من الدوله https://t.co/O2QB4XQRtN May 24, 2017 ",anger
"عيب استح على وجهك بالله هذا وصف تكتبه يا مدعي الثقافة الله لا من ثقافة و لا من اخلاق مالت 👏🏻🙌🏻 https://t.co/Gozv90yCA7 May 24, 2017 ",anger
"@YaHalaShow #سجينات_منسيات تعبنا واحنا نتكلم عن ارواح مسجونه تتعذب ان لم نغضب لهن فلمن تغضب ؟ #سعوديات_نطلب_اسقاط_الولايه293 Apr 25, 2017 ",anger
"@DHQ77 @RashaSaad83 @hglphldd جايب نسبة من تحت اباطك🤔 انا اعطيك نسبة بعد 95% من النساء موظفات مطلقات ارامل بحاجة ل #قيادة_المرأة_للسيارة Feb 18, 2017",anger
"#لا_تقذفوا_من_خالفكم باب ما جاء في القذف والتحرش والاغتصاب في سبيل الله 🙂👊🏻 #قيادة_المراه_للسياره… https://t.co/5PHtnInQhV May 24, 2017 ",anger
"@Sssa339 @L1Noo11 اي كل من هب و دب يصير سواق وهذا غيض من فيض #قيادة_المرأة_للسيارة https://t.co/Df7NTt2DsH Mar 06, 2017 ",anger
"@bomb6767 واضح من ردك عندك قصور بمخك مسبب لك ضعف في الاستيعاب توكل بس May 22, 2017 ",anger
"#نريد_تحديد_سن_الرشد_للمراه دول الخليج محددين سن رشد للمرأة بمحرد بلوغه تكون مسؤلة عن استخراج اوراقها الرسمية الا بهالديرة ذل وغربال 💩 May 22, 2017 ",anger
"@haz_it2 @meshal_otibi @IvankaTrump زيديهم لله درك خل نطلع خياسهم وننشر غسيلهم الوصخ عند الكفار شوهوا الدين بتنطعه… https://t.co/xmwjuERral May 21, 2017 ",anger
"@muhaalz موضوع تافهة عندك لانك ماتتعطل مثلنا بمشاويرك 😒 والشبعان على الجايع بطي Jan 27, 2017 A36",anger
"@Official3ziz اخ يالقهر ليش احنا مايسوون لنا مسطحات خضراء مثل الاجانب ولا الاجانب بشر واحنا ضبان 😡 Feb 07, 2017 ",anger
"@KHALED_Z_KSA_24 ماعندي مشكلة مع من تغطي اوتكشف وجهها لان الغطا عرف لكن يوصل الامر بالطعن بعرض ودين من تكشف وجهها هذا الي ودي ادوس ببطنهم 😤 May 19, 2017 ",anger
"@hanaaalmalki @S3wZ5o7p7KNO02l اناغاسلةايدي من هيئتهم عقب حوادث مطاردتهم للناس اخرهافتاة النخيل وكشفوا عورتها بالشارع سود الله وجيههم الهمج May 19, 2017 ",anger
"@L1Noo11 مشكلة ان فئة متخلفة مريضة تعمم و تفرض نظرتها الدونية اتجاه المرأة على جميع افراد الشعب وبشكل قانوني 💦 وصلن… https://t.co/GUIIEGutLy May 19, 2017",anger
